method,n_instances,avg_makespan,median_makespan,best_makespan,worst_makespan,avg_runtime_sec,avg_gap_percent
random,2,33.5,33.5,28.0,39.0,3.211750004084024e-05,29.398496240601506
spt,2,34.5,34.5,26.0,43.0,2.16755001929414e-05,29.849624060150376
lpt,2,31.0,31.0,22.0,40.0,2.3084000076778466e-05,15.037593984962406
neh,2,30.5,30.5,22.0,39.0,6.492750026154681e-05,13.609022556390977
neh_plus,2,30.0,30.0,22.0,38.0,0.00033810300010372885,12.180451127819548
